[22:28:20] [INFO] received Windows console close event; shutting log-core down
[22:29:22] [INFO] received Windows console close event; shutting log-core down
[22:30:50] [INFO] received Windows console close event; shutting log-core down
[22:32:20] [INFO] received Windows console close event; shutting log-core down
[22:34:36] [INFO] received Windows console close event; shutting log-core down
[22:38:00] [INFO] received Windows console close event; shutting log-core down
[22:41:12] [INFO] received Windows console close event; shutting log-core down
[23:22:04] [INFO] received Windows console close event; shutting log-core down
[23:22:53] [INFO] received Windows console close event; shutting log-core down
[23:27:41] [INFO] received Windows console close event; shutting log-core down
[23:38:43] [INFO] received Windows console close event; shutting log-core down
[16:38:58] [INFO] received Windows console close event; shutting log-core down
[16:55:59] [INFO] received Windows console close event; shutting log-core down
[17:44:51] [INFO] received Windows console close event; shutting log-core down
[22:43:05] [INFO] received Windows console close event; shutting log-core down
[23:11:41] [INFO] received Windows console close event; shutting log-core down
[23:11:57] [INFO] received Windows console close event; shutting log-core down
[23:12:30] [INFO] received Windows console close event; shutting log-core down
[23:12:56] [INFO] received Windows console close event; shutting log-core down
[23:14:45] [INFO] received Windows console close event; shutting log-core down
[23:15:52] [INFO] received Windows console close event; shutting log-core down
[23:28:01] [INFO] received Windows console close event; shutting log-core down
[02:29:03] [INFO] received Windows console close event; shutting log-core down
[02:31:57] [INFO] received Windows console close event; shutting log-core down
[02:32:47] [INFO] received Windows console close event; shutting log-core down
[02:34:19] [INFO] received Windows console close event; shutting log-core down
[02:35:41] [INFO] received Windows console close event; shutting log-core down
[02:36:33] [INFO] received Windows console close event; shutting log-core down
[02:38:15] [INFO] received Windows console close event; shutting log-core down
[02:39:00] [INFO] received Windows console close event; shutting log-core down
[02:48:07] [INFO] received Windows console close event; shutting log-core down
[02:52:22] [INFO] received Windows console close event; shutting log-core down
[02:58:21] [INFO] received Windows console close event; shutting log-core down
[02:59:40] [INFO] received Windows console close event; shutting log-core down
[03:01:37] [INFO] received Windows console close event; shutting log-core down
[03:03:44] [INFO] received Windows console close event; shutting log-core down
[03:06:34] [INFO] received Windows console close event; shutting log-core down
[03:07:19] [INFO] received Windows console close event; shutting log-core down
[03:10:20] [INFO] received Windows console close event; shutting log-core down
